match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",10,6,RA Jadeja,1,1,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",11,1,Noor Ahmad,2,2,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",11,2,Noor Ahmad,1,1,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",11,5,Noor Ahmad,0,1,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",11,6,Noor Ahmad,6,6,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",11,7,Noor Ahmad,0,0,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",12,3,M Pathirana,1,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",12,5,M Pathirana,0,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",12,6,M Pathirana,1,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",13,1,R Ashwin,1,1,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",13,4,R Ashwin,1,1,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",13,6,R Ashwin,0,0,True,caught,right,spin
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,3,MJ Henry,4,4,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,4,MJ Henry,6,6,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,5,MJ Henry,1,1,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",1,1,KK Ahmed,0,1,False,,left,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",1,6,KK Ahmed,4,4,False,,left,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2,3,MJ Henry,1,1,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2,5,MJ Henry,6,6,False,,right,pace
1527676,2026-03-30,2026,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2,6,MJ Henry,1,1,False,,right,pace
